,0
Number of Individuals,184.0
Average Age,60.23076923076923
STD Age,5.046247653912299
Average Pkyrs,59.02884615384615
STD Pkyrs,23.865280945662143
Average Nodule Size,10.843137254901961
STD Nodule Size,4.784861749390918
Male Count,18.0
Female Count,8.0
Count Xslice,56.0
Count Yslice,70.0
Count Zslice,58.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),51.0
Other minor abnormalities,32.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",30.0
Emphysema,30.0
Benign Lung Nodule(s),19.0
Non-calcified micronodule(s) (opacity < 4mm diameter),9.0
Pleural thickening or effusion,8.0
 other potentially significant abnormalities below diaphram,7.0
other potentially significant abnormality above diaphram,4.0
"Atelectasis, segmental or greater",2.0
"6 or more nodules, not suspicious for cancer",1.0
Consolidation,1.0
Soft Tissue,34.0
Unable to Determine Count,8.0
Mixed,4.0
Ground Glass,4.0
Other Tissue Count,1.0
