,0
Number of Individuals,1132.0
Average Age,61.804597701149426
STD Age,4.717210154169444
Average Pkyrs,57.827586206896555
STD Pkyrs,23.84952556524447
Average Nodule Size,8.502347417840376
STD Nodule Size,4.436793433671567
Male Count,53.0
Female Count,34.0
Count Xslice,404.0
Count Yslice,392.0
Count Zslice,336.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),214.0
Other minor abnormalities,110.0
Emphysema,95.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",71.0
Benign Lung Nodule(s),64.0
Non-calcified micronodule(s) (opacity < 4mm diameter),31.0
Significant Cardiovascular abnormality,27.0
other potentially significant abnormality above diaphram,17.0
Pleural thickening or effusion,13.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),12.0
 other potentially significant abnormalities below diaphram,11.0
"6 or more nodules, not suspicious for cancer",2.0
"Chest Wall Abnormality (bone destruction, metastisis)",2.0
Consolidation,1.0
"Atelectasis, segmental or greater",1.0
Soft Tissue,160.0
Ground Glass,31.0
Unable to Determine Count,10.0
Mixed,8.0
Other Tissue Count,4.0
Fat Count,1.0
