,0
Number of Individuals,324.0
Average Age,62.689320388349515
STD Age,5.1278347037795715
Average Pkyrs,65.5990291262136
STD Pkyrs,25.317073581566206
Average Nodule Size,8.16025641025641
STD Nodule Size,3.583629794829489
Male Count,55.0
Female Count,48.0
Count Xslice,114.0
Count Yslice,102.0
Count Zslice,108.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),316.0
Emphysema,84.0
Non-calcified micronodule(s) (opacity < 4mm diameter),64.0
Other minor abnormalities,56.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",52.0
Benign Lung Nodule(s),50.0
other potentially significant abnormality above diaphram,15.0
Pleural thickening or effusion,10.0
 other potentially significant abnormalities below diaphram,9.0
Significant Cardiovascular abnormality,7.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),7.0
"6 or more nodules, not suspicious for cancer",4.0
"Atelectasis, segmental or greater",2.0
Consolidation,1.0
Soft Tissue,199.0
Ground Glass,81.0
Mixed,28.0
Unable to Determine Count,5.0
Other Tissue Count,3.0
