,0
Number of Individuals,444.0
Average Age,63.24647887323944
STD Age,5.120098929283475
Average Pkyrs,64.71725352112675
STD Pkyrs,23.675502080976763
Average Nodule Size,10.129310344827585
STD Nodule Size,4.554878638090294
Male Count,80.0
Female Count,62.0
Count Xslice,142.0
Count Yslice,148.0
Count Zslice,154.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),348.0
Emphysema,121.0
Other minor abnormalities,67.0
Benign Lung Nodule(s),62.0
Non-calcified micronodule(s) (opacity < 4mm diameter),59.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",58.0
other potentially significant abnormality above diaphram,21.0
Significant Cardiovascular abnormality,17.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),15.0
Pleural thickening or effusion,11.0
 other potentially significant abnormalities below diaphram,10.0
"Atelectasis, segmental or greater",3.0
"6 or more nodules, not suspicious for cancer",2.0
Consolidation,1.0
Soft Tissue,251.0
Ground Glass,58.0
Mixed,30.0
Unable to Determine Count,7.0
Other Tissue Count,2.0
