,0
Number of Individuals,1196.0
Average Age,61.371428571428574
STD Age,5.155760674417319
Average Pkyrs,56.49095238095237
STD Pkyrs,23.58322087367535
Average Nodule Size,8.69047619047619
STD Nodule Size,4.402940498269691
Male Count,61.0
Female Count,44.0
Count Xslice,418.0
Count Yslice,416.0
Count Zslice,362.0
Non-calcified Nodule or mass (opacity >= 4mm diameter),254.0
Other minor abnormalities,139.0
Emphysema,105.0
"Reticular or reticulonodular opacities, honeycombing, fibrosis",85.0
Benign Lung Nodule(s),74.0
Non-calcified micronodule(s) (opacity < 4mm diameter),44.0
other potentially significant abnormality above diaphram,25.0
Significant Cardiovascular abnormality,25.0
Pleural thickening or effusion,21.0
 other potentially significant abnormalities below diaphram,16.0
Non-calcified hilar/mediastinal adenopathy or mass (>= 10mm short axis),11.0
"6 or more nodules, not suspicious for cancer",5.0
"Chest Wall Abnormality (bone destruction, metastisis)",3.0
Consolidation,1.0
"Atelectasis, segmental or greater",1.0
Soft Tissue,177.0
Ground Glass,51.0
Mixed,14.0
Other Tissue Count,7.0
Unable to Determine Count,5.0
